City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,bend,44.0582,-121.3153,6.92,62,75,7.72,US,1673118832
333,kaa-khem,51.6833,94.7333,-13.06,98,100,0.73,RU,1673118832
334,magadan,59.5667,150.8,-21.93,81,100,2.17,RU,1673118833
335,mandapam,9.2833,79.1167,26.53,75,14,9.61,IN,1673118833
336,linden,6.0,-58.3,25.51,94,100,2.26,GY,1673118833
337,yarada,17.65,83.2667,17.18,100,0,1.03,IN,1673118834
338,methven,-43.6333,171.65,9.95,77,10,1.29,NZ,1673118834
339,mabaruma,8.2,-59.7833,25.55,90,99,2.84,GY,1673118835
340,santa rosa,14.3122,121.1114,23.99,89,98,5.6,PH,1673118721
341,pisco,-13.7,-76.2167,22.23,78,40,4.63,PE,1673118835
342,koygorodok,60.445,50.9968,-22.3,99,100,1.92,RU,1673118836
343,luganville,-15.5333,167.1667,25.69,86,100,2.7,VU,1673118836
344,geraldton,-28.7667,114.6,18.23,82,40,5.14,AU,1673118837
345,roura,4.7263,-52.3274,23.95,94,100,2.57,GF,1673118838
346,xichang,27.8964,102.2634,6.75,77,3,0.79,CN,1673118697
347,kununurra,-15.7667,128.7333,25.99,89,40,2.57,AU,1673118838
348,aberdeen,57.1437,-2.0981,7.33,85,58,10.8,GB,1673118839
349,skelleftea,64.7507,20.9528,-5.8,100,100,3.6,SE,1673118839
350,roald,62.5833,6.1333,10.51,70,0,8.23,NO,1673118840
351,hualmay,-11.0964,-77.6139,23.65,67,12,4.34,PE,1673118840
352,beboto,8.2668,16.939,26.03,21,90,2.02,TD,1673118840
353,port blair,11.6667,92.75,24.02,88,40,1.03,IN,1673118824
354,hamilton,39.1834,-84.5333,6.44,66,0,2.57,US,1673118701
355,puerto maldonado,-12.6,-69.1833,34.22,59,40,1.03,PE,1673118842
356,provideniya,64.3833,-173.3,-18.22,95,47,4.07,RU,1673118842
357,stromness,58.965,-3.296,6.98,87,54,6.71,GB,1673118843
358,berezovyy,51.6667,135.7,-23.67,98,100,0.55,RU,1673118845
359,nacala,-14.5428,40.6728,26.54,83,28,3.56,MZ,1673118845
360,kalmar,56.6616,16.3616,4.96,99,100,6.17,SE,1673118718
361,ambanja,-13.6833,48.45,24.29,89,100,1.05,MG,1673118847
362,cayenne,4.9333,-52.3333,24.02,94,100,2.57,GF,1673118848
363,pathein,16.7833,94.7333,21.03,91,2,2.24,MM,1673118848
